issn,member,created_date
1847-0459,14878,2021-11-05
1434-4750,297,2021-12-11
1858-4322,12056,2021-09-14
0262-4079,78,2021-12-11
2655-7274,9735,2020-06-23
0736-5829,100,2021-12-12
2169-2661,2751,2021-09-29
2455-1457,9972,2021-02-16
1095-0753,2902,2021-11-18
2684-8457,11796,2020-02-24
1742-5786,301,2021-12-19
1582-9146,10438,2021-08-16
1069-1898,301,2020-12-30
2595-279X,10169,2021-10-21
0320-8079,11994,2021-11-12
1026-9479,6114,2021-06-30
1760-6101,250,2021-10-22
2527-4244,16730,2021-09-18
0301-4851,297,2021-12-26
1756-5847,426,2020-04-22
1748-5711,378,2021-11-21
2476-7263,3819,2019-09-28
2477-4375,18452,2021-10-14
1365-2656,311,2021-12-26
1414-6312,3162,2021-11-11
2674-6425,4028,2021-09-11
2731-040X,297,2021-11-11
1424-3202,297,2021-11-26
0913-8668,297,2021-12-04
2315-4748,219,2021-03-04
2366-1089,297,2021-12-04
2045-452X,286,2020-01-02
1679-2009,3162,2021-11-16
1556-472X,320,2021-11-15
2576-3709,9419,2021-10-18
0318-6431,1121,2015-07-16
1938-3320,1300,2018-06-21
0889-938X,297,2021-11-23
2446-6220,10210,2021-11-19
1300-4751,9064,2021-10-13
2336-4386,3846,2021-09-15
1475-4843,301,2021-11-24
1229-5418,17299,2021-04-06
2168-1732,301,2021-11-27
1476-1793,78,2011-01-24
1364-5501,292,2013-02-15
1341-1756,390,2021-07-31
2574-4135,4945,2020-11-17
2549-0389,8629,2021-09-01
1573-8345,297,2011-11-24
2329-3225,56,2021-09-15
1552-7514,179,2021-11-01
1465-6906,297,2015-07-22
0195-9298,297,2021-12-25
2090-2239,98,2017-10-09
1043-6928,301,2021-10-27
1806-3756,530,2020-03-02
1999-5555,10319,2021-11-12
1916-9698,3486,2021-11-03
2167-6852,3951,2021-04-30
2359-5388,4873,2021-07-30
0005-2787,78,2008-05-05
0031-5850,2084,2021-12-25
2658-5650,16194,2021-09-06
0016-6723,98,2021-10-31
2281-5872,297,2021-11-25
1608-313X,137,2021-09-27
0014-2808,2273,2021-08-05
2243-7711,3886,2021-11-01
1990-3413,137,2021-10-04
0022-1791,297,2021-11-22
0016-9161,50,2021-03-30
2195-1454,93,2017-01-07
1740-2824,378,2021-11-09
0884-1233,301,2021-10-27
1572-8900,297,2017-07-03
2287-9110,2568,2021-11-01
1523-3804,297,2021-12-11
2518-4415,17640,2020-01-27
1565-9801,50,2021-10-29
0542-1497,2101,2015-08-07
2713-0584,7555,2021-12-26
2107-6952,297,2020-12-21
0335-7457,78,2012-03-16
1572-2759,432,2021-08-31
2199-5974,297,2021-11-02
2639-4979,316,2021-12-25
0341-7638,374,2021-10-04
1598-0634,301,2020-01-10
1573-2991,297,2021-10-29
1439-1074,194,2021-11-25
1461-7129,179,2021-11-23
0363-2946,2085,2018-11-16
1936-8631,301,2021-12-05
1938-6478,970,2018-12-12
2358-6125,10401,2021-11-03
1053-4628,7281,2021-11-05
1574-1818,78,2021-09-06
1508-2806,4398,2021-11-27
1981-1543,4873,2021-11-16
0346-1238,301,2021-11-25
1588-2616,425,2016-01-09
2079-2638,10504,2021-10-13
0172-4827,297,2013-09-09
2411-8826,11239,2021-11-01
2691-5774,9969,2021-10-22
1738-6764,3346,2017-03-13
2233-6567,3578,2019-03-17
1555-5542,297,2021-11-25
2035-5106,297,2021-11-01
1439-1279,194,2021-11-25
1618-1530,432,2021-10-11
2321-1385,2581,2019-11-14
2548-7698,9237,2021-11-01
2386-5660,5351,2021-10-28
1687-6873,98,2009-07-28
0920-2307,78,2005-11-30
0954-4879,311,2021-12-25
2201-4276,301,2018-02-26
1608-3407,137,2021-11-01
0138-0338,2718,2010-06-02
1306-6137,6590,2021-11-03
2334-2390,6329,2021-12-11
2314-8047,98,2016-12-20
1943-3867,374,2021-10-27
2301-4822,19139,2021-04-16
2300-3960,26341,2021-11-26
0219-3094,297,2021-12-12
0932-9951,5267,2021-03-14
1531-5010,194,2021-08-04
1938-6060,69,2016-08-01
1746-9392,378,2021-02-27
2146-8958,3306,2021-07-02
1381-4338,297,2021-10-29
1878-6529,78,2021-11-23
1045-4616,927,2021-03-12
2197-795X,297,2021-11-25
2477-5525,17664,2021-07-03
2622-6057,10530,2021-06-15
1931-3756,179,2021-08-21
0959-9428,292,2013-02-15
0039-1735,6743,2021-12-25
2535-2091,9060,2021-11-15
2407-1536,16683,2020-08-06
1931-0250,311,2018-08-05
2197-9901,297,2019-10-21
2407-8654,6098,2021-07-03
1651-2006,301,2021-11-05
2364-9569,297,2021-11-25
2390-0202,7600,2021-11-12
2167-8707,301,2021-11-11
2321-5763,30507,2021-08-20
0973-0648,179,2021-06-02
1463-9955,426,2021-07-21
2162-8750,77,2015-11-18
0167-0115,78,2014-12-09
2040-3615,378,2021-12-25
1995-6827,297,2021-10-20
1883-7301,2830,2021-11-19
1557-4989,2204,2021-10-08
2472-8454,194,2021-11-27
1839-3373,286,2019-12-19
2197-4314,297,2021-11-06
1651-1913,301,2021-12-26
0957-8811,297,2021-11-18
0869-8619,6171,2021-04-16
2698-9220,5471,2021-10-13
1975-664X,15986,2021-10-13
1980-5403,10723,2018-08-24
1542-7846,311,2018-08-05
0022-5533,179,2020-03-19
0100-2945,530,2021-10-29
1572-4859,78,2016-08-03
2082-3304,22009,2021-12-12
1552-731X,179,2021-11-16
1793-7051,219,2017-05-12
1658-2969,5068,2016-09-05
0343-3005,297,2014-01-12
1226-4571,10253,2021-11-05
2637-6679,17401,2021-11-18
1547-9846,432,2021-09-07
1573-7640,297,2021-11-27
0924-4646,297,2013-05-04
2090-7664,98,2017-12-10
1945-6174,2013,2021-11-11
8756-6583,286,2021-12-05
0873-9749,297,2021-11-03
1472-7862,78,2004-04-01
2153-1056,1015,2021-10-27
2721-2416,16171,2021-08-04
0974-0120,297,2013-11-09
2413-497X,6225,2020-12-06
1557-0614,311,2021-11-15
2662-9364,297,2021-11-26
0169-3158,78,2016-08-04
1468-4837,266,2021-07-19
2364-6861,297,2021-11-15
2029-0551,4256,2021-11-18
1749-6268,301,2021-11-19
2182-9942,5676,2021-11-13
1936-3761,297,2021-11-22
1309-0720,2875,2019-08-08
2327-2937,5033,2021-04-02
2465-6666,24933,2021-06-30
1659-0643,8183,2021-07-30
1556-2085,137,2021-11-15
1479-2931,297,2021-11-22
2313-8734,5666,2021-10-20
2041-2657,286,2021-12-19
2455-328X,179,2021-12-25
1608-6791,297,2015-06-08
1743-1026,433,2021-12-12
0001-7817,250,2018-07-12
1553-4529,301,2021-10-26
2503-1163,21004,2020-04-09
1755-5922,98,2021-12-26
1896-1851,374,2020-06-18
1613-3412,297,2020-02-26
1522-8851,301,2005-12-14
1528-6932,301,2021-11-13
1573-3009,297,2021-11-25
1995-3712,1963,2011-10-16
2227-5053,5545,2021-07-13
1618-1247,297,2021-11-22
1883-261X,3588,2021-11-19
0016-7770,4687,2018-06-30
2168-0965,4384,2021-06-12
2579-9479,10681,2021-10-30
2630-4635,7465,2020-12-01
2514-7641,140,2021-11-25
0090-2934,311,2018-08-05
2234-4217,4344,2021-11-10
1880-4047,1163,2021-10-19
0022-4537,311,2021-12-25
1608-3156,137,2021-03-10
0066-4219,22,2021-11-23
2104-3787,2273,2021-02-05
2314-5781,98,2017-07-19
1021-9722,297,2021-12-12
2090-0015,98,2021-11-16
1616-864X,297,2021-10-29
2148-7456,8881,2021-12-04
2498-7646,9310,2021-07-06
2515-074X,56,2021-11-18
0889-857X,78,2021-11-17
1086-315X,147,2021-10-17
2207-3744,6228,2021-10-28
2527-676X,19132,2021-07-08
2522-1205,22379,2021-10-07
1017-0669,301,2012-11-23
2163-9493,2751,2019-07-18
1758-9517,301,2019-06-12
0262-7280,179,2021-11-25
1925-4016,3394,2018-02-17
0301-5564,297,2020-06-30
1046-1469,3382,2019-12-09
2549-2845,16013,2021-08-19
0021-7697,78,2012-07-13
1693-5764,8603,2021-12-26
2525-9814,11208,2021-08-20
2228-835X,27549,2021-09-20
1610-2932,297,2021-12-04
1558-3465,320,2021-11-15
2330-2925,15,2021-11-22
0007-4632,297,2013-12-16
1876-5815,297,2021-11-23
2572-7338,281,2021-06-03
2001-0001,301,2019-10-11
0158-7919,301,2021-11-24
1682-6485,219,2021-09-10
0257-7801,1963,2019-05-20
2205-0795,3230,2021-11-28
1300-8773,3407,2021-05-26
0967-0335,179,2021-11-23
1992-1454,2297,2021-08-24
2645-8772,11192,2021-08-16
1608-3326,137,2021-12-19
2211-4599,5581,2021-10-21
2380-8977,301,2021-11-18
1466-1802,301,2021-09-01
1738-0510,12210,2020-03-01
2309-7132,1963,2021-09-01
2372-3106,6428,2016-02-23
2425-1682,2399,2021-10-21
0883-153X,78,2011-08-30
2090-1941,98,2021-12-26
0011-8532,78,2021-11-16
2686-0384,20347,2021-11-08
1936-4792,297,2021-11-18
2374-2429,4788,2021-07-28
2327-6126,4952,2021-12-25
2194-5071,5267,2021-03-14
0919-4452,5349,2021-08-31
1544-452X,301,2021-11-22
1384-6485,297,2013-12-11
1616-8550,297,2021-05-04
1305-0028,4243,2021-07-02
2230-5246,301,2016-09-09
2337-6007,19270,2020-03-16
2305-4484,10125,2017-04-11
2169-0499,2751,2021-11-25
2398-3345,6817,2021-07-02
0040-3571,137,2019-10-30
2682-4248,9060,2021-09-28
0045-8511,1218,2020-12-31
2190-7196,297,2021-12-19
2488-8699,9913,2021-11-23
2472-5552,179,2021-11-23
2406-8241,22003,2021-06-28
1024-2708,5051,2020-04-17
0971-9784,2581,2021-04-19
1225-7796,11557,2020-12-04
0031-2789,297,2021-11-16
1229-4683,23266,2020-01-06
2544-1361,6254,2021-11-03
1477-5212,378,2021-11-28
0393-2249,17149,2020-12-02
2658-5626,11048,2021-11-25
2500-946X,11982,2021-10-11
2289-697X,6001,2021-11-04
1063-0740,137,2021-11-02
1452-7448,7806,2021-10-03
2029-2341,2209,2021-11-22
2522-1213,22379,2021-10-07
1934-7863,1627,2014-07-14
1368-1613,27919,2021-12-11
2381-6937,8112,2019-09-26
2331-6063,5280,2021-11-22
1874-8597,297,2021-11-25
1055-6796,301,2016-11-15
1356-689X,78,2016-10-26
1978-3477,3406,2021-11-08
1750-0672,378,2021-10-27
1537-4521,276,2021-11-13
2066-8643,4840,2021-11-25
2089-0028,22348,2021-11-09
2314-7938,98,2016-08-14
1415-4714,530,2021-10-20
2475-658X,2432,2021-11-15
2369-9698,78,2021-05-18
1945-9718,147,2021-11-14
2522-6673,8611,2021-04-13
1605-8127,374,2021-12-25
2343-8894,374,2014-10-17
2507-0312,7597,2020-12-18
2663-659X,10792,2021-09-06
0941-5025,374,2021-11-09
2179-8095,4419,2020-11-03
2036-3877,297,2015-12-17
2277-1603,4682,2013-02-19
1884-0833,3030,2019-12-19
0973-5666,4035,2019-11-21
1860-0816,297,2021-10-29
1598-1657,3531,2021-11-09
1883-891X,3121,2021-01-12
1681-116X,6225,2021-08-09
2090-200X,98,2019-04-14
1532-4184,301,2012-11-15
1053-881X,297,2009-09-02
1743-4939,378,2016-08-18
1880-6554,1351,2021-09-30
2509-6745,297,2021-08-23
2451-1765,374,2021-10-16
2541-0733,9237,2021-10-03
2655-903X,8620,2021-08-25
2328-126X,2432,2021-11-08
1516-6104,7201,2021-07-09
2171-9748,78,2017-12-20
1738-236X,5708,2017-07-26
1058-1243,793,2021-08-06
1798-4769,6939,2021-11-02
1880-1293,1082,2021-11-10
1532-8813,5629,2020-11-04
1100-2573,19954,2021-11-04
2042-4639,8447,2021-09-18
0929-1318,297,2013-04-30
2767-8490,301,2021-11-10
0254-4059,297,2017-09-07
1550-3585,22,2021-10-15
1229-5965,6826,2020-03-11
2199-7152,194,2021-11-18
1942-0889,301,2021-12-25
2145-0226,4832,2021-10-20
2536-4391,3306,2021-11-15
0040-5795,297,2008-06-04
2111-4412,2273,2021-02-23
1983-3857,5515,2021-10-18
2059-4631,140,2021-12-25
0032-4663,2273,2021-11-13
2314-4858,98,2017-11-19
2473-8476,20409,2021-11-15
2199-7446,297,2021-11-19
2395-6011,17802,2021-11-24
2231-0614,4694,2017-07-26
2156-5414,3673,2021-03-12
0269-8803,101,2021-10-21
0300-8746,297,2019-07-18
1548-226X,73,2021-11-24
2211-050X,297,2021-11-18
1978-3833,10522,2021-07-11
2470-6086,6607,2021-09-06
2193-0414,297,2017-10-26
2147-429X,297,2021-11-09
2153-2435,2674,2019-03-20
2631-8644,266,2021-12-26
0920-5632,78,2014-12-03
2312-8089,8456,2019-03-27
2356-7082,98,2015-02-19
1110-0931,33163,2018-11-29
1793-1320,219,2013-05-29
0172-7397,297,2021-09-30
2087-8788,10951,2021-07-09
2146-4642,7517,2021-11-01
1065-514X,98,2018-10-18
1864-8126,297,2020-11-05
1673-3452,297,2021-11-06
1226-0657,4342,2017-04-28
2241-8148,15188,2021-11-09
0258-5316,2839,2021-07-09
2233-9310,2647,2013-08-14
1993-0623,297,2013-10-17
1940-7238,1310,2020-02-20
2186-4950,25752,2020-12-03
1321-8166,56,2021-11-02
1927-5587,3329,2021-07-12
0188-9893,11266,2018-01-24
1884-7110,4001,2021-10-19
1069-0964,140,2019-09-23
2354-0214,10051,2021-10-04
1612-8060,194,2017-08-09
2194-7937,297,2021-10-20
1527-2087,147,2018-07-29
2171-9098,7550,2021-02-03
2287-7967,5022,2015-11-24
2051-820X,301,2021-12-19
1540-4099,301,2021-11-01
0012-8775,301,2021-11-22
0142-2413,301,2011-09-26
1932-9156,374,2021-10-14
2314-4203,98,2016-06-17
2329-6887,2674,2019-03-26
1874-9836,50,2015-12-12
2340-4809,4077,2020-06-19
1433-0571,297,2014-05-02
2697-2018,7352,2021-04-19
2621-1440,18446,2021-07-07
1938-887X,793,2021-08-06
2409-8892,18577,2021-11-17
2358-1212,9772,2021-10-07
0399-8320,78,2012-02-20
2196-7210,297,2021-11-25
2199-3211,297,2021-12-12
2325-6249,301,2018-10-19
0077-1554,14,2021-03-19
2147-7736,2023,2017-01-24
2687-4520,3111,2021-04-22
1936-1327,22,2021-10-05
2186-0211,5073,2021-12-19
2572-6560,12108,2021-02-03
2461-0631,21872,2021-11-27
2051-4220,8854,2021-09-03
2405-7223,78,2017-11-13
1876-8776,297,2019-05-22
1567-8644,297,2021-11-03
1945-7731,11,2021-10-29
2526-0197,11208,2021-08-20
0352-5252,3964,2021-10-22
2206-1991,8848,2021-08-30
2636-4735,11151,2021-09-07
2333-3073,3287,2021-10-11
1755-0637,286,2020-11-13
2666-7967,965,2021-11-23
2162-6170,2751,2021-08-03
0215-1243,17788,2021-08-01
